stock,avg_return,volatility,avg_volume,risk_score,risk_cluster,risk_level
ACE,0.0026681331824177,0.0326525387254268,497257.9692058346,2.5491224502717307,0,Low Risk
ACEINTEG,0.0007325408416039,0.0275516222499981,5328.179092382496,3.5291043513570344,0,High Risk
ACI,0.0018268223670209,0.022036224619936,502815.2578616352,2.520640730817691,0,Low Risk
ACLGATI,0.0008429454084098,0.0330615124035544,878674.7020242915,3.585238517562721,0,High Risk
ADANIENSOL,0.0018769642475235,0.0334971047390827,1023676.8350848828,2.88723951867214,0,Low Risk
ADANIENT,0.0031400808940734,0.034231573200941,4898817.258508914,2.447986459548075,0,Low Risk
ADANIGREEN,0.0037969644255806,0.0345270122123111,1784852.3637833467,2.2884837587072453,0,Low Risk
ADANIPORTS,0.0014161564708208,0.0248924348868237,7305407.599675851,2.857510892588566,0,Low Risk
ADANIPOWER,0.0025373320819931,0.0352419322662251,13293926.96847211,2.6646360163632976,0,Low Risk
ADFFOODS,0.0006861311935379,0.0352399059240453,242678.66126418152,3.824873517883917,2,High Risk
ADL,0.0019734648059607,0.0272827220380572,3051.3376623376626,2.650282292119128,0,Low Risk
ADORWELD,0.0015604747564372,0.0283640794321511,29950.43598055105,2.894911960516145,0,Low Risk
ADROITINFO,0.0006537024704796,0.0378789537134411,34379.26079734219,3.936855524264885,2,High Risk
ADSL,0.0026334620373099,0.0380802574512424,277347.7074554295,2.703449335546793,0,Low Risk
ADVANIHOTR,0.0011948657866449,0.0297989045938146,72838.92382495948,3.178600439686499,0,Medium Risk
ADVENZYMES,0.0011181140865316,0.0272073329248055,290670.68638573744,3.149980933501118,0,Medium Risk
AEGISCHEM,0.0010548493425019,0.0299728169167265,613567.9367909238,3.29412711798955,0,Medium Risk
AEROFLEX,-0.000701312019869,0.0242276228399681,1370727.928,3.441537419847171,0,Medium Risk
AETHER,0.0004709752322,0.0191231102111691,149389.70506912444,3.5407278058134377,0,High Risk
AFFLE,0.0013153476205151,0.0364486422057798,223323.85017730496,3.2866253547809388,0,Medium Risk
AGARIND,0.0020415828373254,0.0360076482508856,48067.61345218801,2.879960403323414,0,Low Risk
AGI,0.0026280235283192,0.0347442382667562,341946.0988654781,2.6200236091149485,0,Low Risk
AGRITECH,0.0016704384163597,0.0365695981495687,22238.49797898141,3.075267482571443,0,Medium Risk
AGROPHOS,0.0005846919488365,0.0398083717647434,148032.99029911074,4.079916944710679,2,High Risk
AGSTRA,-0.0007691167761986,0.0292105746590758,597614.9922779923,3.5441280236627195,0,High Risk
AHL,0.0016948900211241,0.0281445127309465,338338.57288135594,2.8142316801373948,0,Low Risk
AHLADA,0.0006465729886953,0.0364667027883022,28799.64748784441,3.908927465580733,2,High Risk
AHLEAST,-1.8507371027961976e-05,0.0356788489476786,16383.397893030797,5.710654162407584,2,High Risk
AHLUCONT,0.0013475979497722,0.024900631888735,37005.33468395462,2.901495497514462,0,Low Risk
AIAENG,0.0007753309232918,0.0200733632112946,60268.10777957861,3.175229578022962,0,Medium Risk
AIRAN,7.663445338625573e-05,0.0371088898479105,222050.39398862715,5.352278079939875,2,High Risk
AIROLAM,0.0030579415243354,0.0461026663651676,36568.63306908267,2.7472043340592,0,Low Risk
AJANTPHARM,0.0008930624350528,0.0214862870630373,203542.86871961103,3.119558829423552,0,Medium Risk
AJMERA,0.0017768618010652,0.03490547024952,135606.73987034036,2.975416495234167,0,Low Risk
AJOONI,0.0001705945275189,0.0401831151288201,525862.3849270665,5.007292135931095,2,High Risk
AKASH,8.943571848372911e-05,0.0401547629373926,46966.30375114364,5.36115313726365,2,High Risk
AKG,0.0006567644823854,0.0429523211085432,82040.82551020409,4.056259182405485,2,High Risk
AKSHAR,-0.0033057556114133,0.0557692924453792,1795772.869074492,2.855033140220886,0,Low Risk
AKSHARCHEM,0.0004946664976065,0.0347777779597108,33195.00648298217,4.0856876506688,2,High Risk
AKSHOPTFBR,0.0001135964873397,0.036812123824116,520318.8265802269,5.155279431766828,2,High Risk
AKZOINDIA,0.0003990039619473,0.0160264876086626,16284.108589951378,3.5000453758701324,0,High Risk
ALANKIT,0.0002817396400762,0.0350614369991556,654163.5713128039,4.530947229241183,2,High Risk
ALBERTDAVD,0.0012274144745621,0.0261472685957459,22743.113452188005,3.030031918903889,0,Medium Risk
ALEMBICLTD,0.0010960703897149,0.0290689385913226,717210.0542949757,3.230950718016975,0,Medium Risk
ALICON,0.0008578502171868,0.0307900081517775,18007.85089141005,3.500889132844535,0,High Risk
ALKALI,0.0014490691905627,0.038347982318601,57728.43111831442,3.2486481958240025,0,Medium Risk
ALKEM,0.0010028429347074,0.01623854966346,144580.21231766613,2.7552049475794944,0,Low Risk
ALKYLAMINE,0.0019162323966251,0.0267446406944324,79589.77876823339,2.657785270548342,0,Low Risk
ALLCARGO,0.0007008274230242,0.0355575558751159,2394781.6223662887,3.81553461160492,2,High Risk
ALLSEC,0.0016262135916589,0.0298278668845243,26583.320907617504,2.905772579741692,0,Low Risk
ALMONDZ,0.0018640345028452,0.0341879491851349,36804.30024610336,2.912731043484192,0,Low Risk
ALOKINDS,0.0043813618149771,0.1231378313727148,12214557.962387571,3.3491237996378698,0,Medium Risk
ALPA,0.0018567363038581,0.0397779975044975,118653.79902755268,3.0600557928984164,0,Medium Risk
ALPHAGEO,0.0005492851395439,0.0364389461359712,42411.16126418152,4.045183009613394,2,High Risk
ALPSINDUS,0.0007420363635352,0.0443666989681865,36895.40434782609,3.983222406293171,2,High Risk
AMARAJABAT,0.0003050035208399,0.0195811037115328,891360.4730831974,3.8988969122810953,2,High Risk
AMBER,0.0017020026597368,0.0276423436482019,120492.4890864996,2.793603280529866,0,Low Risk
AMBIKCO,0.0005889460270191,0.0245096314643378,21509.909238249595,3.599379890446001,0,High Risk
AMBUJACEM,0.0010598415583996,0.0220187649422332,5975406.11993517,2.994946311449328,0,Medium Risk
AMDIND,0.0016315165827619,0.0409470377882263,64909.15235008104,3.2046988925925888,0,Medium Risk
AMIORG,0.0006648320613516,0.027654510540387,210250.37479541736,3.615168987765376,0,High Risk
AMJLAND,0.0010171791426342,0.0331091532788267,67118.14991896272,3.4221884160567444,0,Medium Risk
AMRUTANJAN,0.0009088300345807,0.0240168934825858,76187.4262560778,3.211112958750868,0,Medium Risk
ANANDRATHI,0.0035211999020473,0.0184279602220096,136475.58287795994,1.80646907598612,0,Low Risk
ANANTRAJ,0.0031712580547696,0.0346115078759245,1126635.897082658,2.449321646735667,0,Low Risk
ANDHRACEMT,0.0151371353825209,0.5133109828471168,279759.57524271845,3.5463982823936075,0,High Risk
ANDHRAPAP,0.0003596904827058,0.025609073393012,103121.1588330632,4.037939690893365,2,High Risk
ANDHRSUGAR,9.821182590355757e-05,0.0354999059329233,446598.1750405186,5.193516955903048,2,High Risk
ANGELONE,0.0033185754741436,0.0343567636055578,654238.7337278107,2.402432548143252,0,Low Risk
ANIKINDS,0.0014767755513476,0.0365939082610237,50859.70412287793,3.186685810010815,0,Medium Risk
ANKITMETAL,0.0033492342191538,0.0541039209118432,107269.89469178082,2.8145567168927,0,Low Risk
ANMOL,-0.0004173565761076,0.041105518372479,377710.4573529412,4.387672834584302,2,High Risk
ANSALAPI,0.0005356366248876,0.0345070454319045,173649.13441295546,4.012544628178547,2,High Risk
ANTGRAPHIC,0.0023320219027745,0.0444834899296631,458990.7497181511,2.9596253933264145,0,Low Risk
ANUP,0.0018348998284175,0.0292383734595736,32475.564019448942,2.779505545435297,0,Low Risk
ANURAS,0.0010403412881838,0.0210229221302399,237431.77303989,2.967108524008535,0,Low Risk
APARINDS,0.0022495722015648,0.0296746087933878,116669.2131280389,2.612258003830539,0,Low Risk
APCL,0.0003798370641502,0.0342741584053028,46997.478930307945,4.282603225332787,2,High Risk
APCOTEXIND,0.0006956752743319,0.0346821302574054,109801.8038897893,3.797471427865449,2,High Risk
APEX,0.0001627470702504,0.0320743376300803,213701.1847649919,4.812778124383505,2,High Risk
APLAPOLLO,0.0018735108119127,0.0294283844884298,592123.9254457051,2.767054156323264,0,Low Risk
APLLTD,0.0007214278253132,0.0210110256765821,274619.2098865478,3.2801087580988155,0,Medium Risk
APOLLO,0.0027440796865484,0.0386425911850438,2065152.9213938413,2.680132661100372,0,Low Risk
APOLLOHOSP,0.0015674128875142,0.0221052835449573,791037.1021069692,2.657264457337865,0,Low Risk
APOLLOPIPE,0.0013209726662651,0.0339672904884476,125705.56782039288,3.2150386024961426,0,Medium Risk
APOLLOTYRE,0.0009715717527388,0.0239247608809245,4644115.679092382,3.149602621005924,0,Medium Risk
APOLSINHOT,0.0011768959071228,0.034418292403123,3747.951377633712,3.330583838355963,0,Medium Risk
APTECHT,0.0008209798084763,0.0336804929280221,536461.6247974068,3.6262134122421497,0,High Risk
APTUS,0.0003411923556262,0.0253879513889276,626900.0032,4.069777774984894,2,High Risk
ARCHIDPLY,0.0013241355372072,0.0380656373545695,66143.36923076923,3.3224767351673203,0,Medium Risk
ARCHIES,0.0009186081016711,0.0344431929167519,132894.33765182187,3.55001900032948,0,High Risk
ARE&M,0.0031733555093675,0.0192490468049275,678925.4725274725,1.928694863853223,0,Low Risk
ARENTERP,0.0021374491340637,0.0399686497319196,6811.703373015873,2.937228295960989,0,Low Risk
ARIES,0.0015931155235927,0.033338613904147,123177.45786061588,3.029683869045377,0,Medium Risk
ARIHANTCAP,0.0008410946775442,0.0463630442515982,356132.2763744428,3.917309326159119,2,High Risk
ARIHANTSUP,0.0020275446808974,0.0329076092341432,90896.92463533224,2.801383372150487,0,Low Risk
ARMANFIN,0.0018955314349872,0.0330160189832091,18072.27854251012,2.864767620675608,0,Low Risk
AROGRANITE,0.0006500222442636,0.0336574626130439,74406.49190938512,3.825926537646291,2,High Risk
ARROWGREEN,0.0020885104639225,0.0375739558898462,26401.4489465154,2.8997022519358566,0,Low Risk
